<omega>	pairs	n_of_seqs	file
0.02	120	16	my_13783_TR17338-c1_g1_i1_aln.fna
0.05	36	9	my_14876_TR23017-c0_g1_i1_aln.fna
0.08	6	4	my_154453_TCONS_00017871_aln.fna
0.05	6	4	my_167135_TCONS_00023725_aln.fna
0.93	6	4	my_66173_TR3077-c0_g1_i1_aln.fna
0	21	7	my_30450_TR13182-c0_g1_i1_aln.fna
0.14	21	7	my_337475_TR15403-c0_g1_i1_aln.fna
0.15	120	16	my_21258_TR10587-c0_g7_i15_aln.fna
0	120	16	my_32875_TR20585-c0_g1_i1_aln.fna
0	6	4	my_65123_TR11962-c0_g1_i1_aln.fna
0.56	10	5	my_66570_TR15600-c2_g1_i1_aln.fna
0	6	4	my_32781_TR2713-c1_g1_i1_aln.fna
0.33	6	4	my_150645_TCONS_00033248_aln.fna
0.14	10	5	my_27268_TR16023-c0_g1_i1_aln.fna
0	6	4	my_62964_TR5602-c0_g1_i1_aln.fna
0.13	10	5	my_128215_TR22726-c0_g1_i1_aln.fna
0	28	8	my_28393_TR16460-c0_g1_i1_aln.fna
0	6	4	my_68651_TR35856-c0_g1_i1_aln.fna
0.07	10	5	my_62861_TR24395-c1_g1_i1_aln.fna
0	21	7	my_62133_TR3378-c1_g1_i1_aln.fna
1.85	6	4	my_28453_TR25409-c0_g1_i1_aln.fna
0.25	21	7	my_101056_TR34881-c1_g1_i1_aln.fna
0.43	10	5	my_142765_TCONS_00026442_aln.fna
0.04	10	5	my_32534_TR34992-c0_g1_i1_aln.fna
0	6	4	my_187441_TCONS_00037696_aln.fna
0.59	15	6	my_211967_TR1246-c0_g1_i1_aln.fna
0.15	6	4	my_140155_TR16729-c0_g1_i1_aln.fna
0.06	21	7	my_58162_TR22590-c0_g1_i1_aln.fna
0	21	7	my_61515_TR8636-c0_g1_i1_aln.fna
0	105	15	my_27088_TR24508-c0_g1_i1_aln.fna
0	6	4	my_30938_TR1109-c0_g1_i1_aln.fna
0.2	28	8	my_25617_TR10708-c1_g1_i1_aln.fna
0	28	8	my_25489_TR19174-c0_g1_i1_aln.fna
0.25	10	5	my_31484_TR27081-c0_g1_i1_aln.fna
0.02	120	16	my_22961_TR23133-c0_g2_i1_aln.fna
0	15	6	my_68538_TR16054-c0_g1_i1_aln.fna
1.85	6	4	my_131489_TR23437-c0_g1_i1_aln.fna
0	15	6	my_29612_TR22420-c0_g1_i1_aln.fna
0	55	11	my_64603_TR3891-c0_g1_i1_aln.fna
0.55	36	9	my_18138_TR16613-c1_g1_i4_aln.fna
0.72	6	4	my_129567_TR28700-c0_g1_i1_aln.fna
0	15	6	my_24198_TR15459-c0_g1_i1_aln.fna
0	28	8	my_31563_TR35225-c0_g1_i1_aln.fna
0	6	4	my_105080_TR27631-c0_g1_i1_aln.fna
0	6	4	my_68758_TR20991-c0_g1_i1_aln.fna
0.14	15	6	my_18302_TR22697-c0_g1_i1_aln.fna
0.01	120	16	my_11334_TR2759-c0_g1_i1_aln.fna
0	15	6	my_35892_TR12242-c0_g1_i1_aln.fna
0	120	16	my_16896_TR32964-c0_g1_i1_aln.fna
0	91	14	my_55721_TR29773-c0_g1_i1_aln.fna
0.37	6	4	my_31057_TR18571-c0_g1_i1_aln.fna
1.23	66	12	my_50256_TR567-c0_g2_i1_aln.fna
1.01	6	4	my_67439_TR5281-c0_g1_i1_aln.fna
1.16	10	5	my_98066_TR19466-c0_g2_i2_aln.fna
0	10	5	my_105473_TR23163-c0_g1_i1_aln.fna
0	15	6	my_23398_TR28178-c0_g1_i1_aln.fna
0.42	15	6	my_35796_TR30304-c0_g1_i1_aln.fna
0.26	6	4	my_135143_TR9119-c0_g1_i1_aln.fna
0	10	5	my_35272_TR15682-c0_g1_i1_aln.fna
0	15	6	my_33272_TR22781-c0_g1_i1_aln.fna
0.89	6	4	my_253356_TR10585-c0_g1_i1_aln.fna
0	6	4	my_34785_TR10331-c0_g1_i1_aln.fna
1.54	6	4	my_246614_TR11549-c1_g1_i1_aln.fna
0.14	10	5	my_99661_TR21098-c0_g1_i1_aln.fna
0.59	6	4	my_26788_TR6707-c0_g1_i1_aln.fna
0	10	5	my_215344_TR8723-c0_g1_i1_aln.fna
0.04	15	6	my_34347_TR5781-c0_g2_i1_aln.fna
0.64	55	11	my_31332_TR10766-c0_g1_i13_aln.fna
0.21	21	7	my_25169_TR20474-c0_g1_i1_aln.fna
0	21	7	my_93322_TR27761-c0_g1_i1_aln.fna
0	21	7	my_28121_TR12997-c0_g1_i1_aln.fna
1.01	21	7	my_32040_TR20643-c0_g1_i11_aln.fna
0	6	4	my_134200_TR22476-c3_g7_i1_aln.fna
0.04	10	5	my_24556_TR27154-c0_g1_i1_aln.fna
0.19	6	4	my_56263_TR17908-c0_g1_i1_aln.fna
0	15	6	my_56283_TR24778-c0_g1_i1_aln.fna
0	91	14	my_20417_TR18625-c0_g1_i1_aln.fna
0	6	4	my_197063_TR7023-c0_g1_i1_aln.fna
0	6	4	my_70898_TR4887-c0_g1_i1_aln.fna
0.32	10	5	my_104871_TR17421-c0_g1_i1_aln.fna
0	6	4	my_33554_TR6194-c0_g1_i1_aln.fna
0.44	15	6	my_60961_TR6803-c0_g1_i1_aln.fna
0.47	21	7	my_34694_TR33864-c0_g1_i1_aln.fna
0	10	5	my_133146_TR34021-c0_g1_i1_aln.fna
0.02	15	6	my_25670_TR21196-c3_g1_i1_aln.fna
0.43	10	5	my_33472_TR25745-c0_g1_i2_aln.fna
0.11	10	5	my_33721_TR3373-c0_g1_i1_aln.fna
0.45	6	4	my_137076_TR7688-c0_g1_i1_aln.fna
0.8	10	5	my_31005_TR11825-c0_g1_i1_aln.fna
0.19	15	6	my_34987_TR7269-c0_g1_i1_aln.fna
0	15	6	my_133666_TR12215-c0_g1_i2_aln.fna
0.53	10	5	my_24068_TR19742-c0_g1_i1_aln.fna
0.75	10	5	my_66870_TR12154-c0_g2_i1_aln.fna
0	66	12	my_28010_TR30928-c0_g1_i1_aln.fna
0.8	6	4	my_31743_TR17140-c0_g1_i1_aln.fna
0.19	10	5	my_22827_TR28686-c0_g1_i1_aln.fna
0	15	6	my_60057_TR5683-c0_g1_i1_aln.fna
0	120	16	my_17743_TR32221-c0_g3_i1_aln.fna
0	10	5	my_32709_TR27229-c0_g1_i1_aln.fna
0	6	4	my_50770_TR5292-c0_g1_i1_aln.fna
0.16	6	4	my_250490_TR21573-c0_g1_i1_aln.fna
0.02	28	8	my_57693_TR33450-c2_g1_i1_aln.fna
1.08	10	5	my_102628_TR1212-c0_g1_i1_aln.fna
0	6	4	my_141287_TR2789-c0_g1_i1_aln.fna
0.51	6	4	my_249200_TR23820-c0_g1_i1_aln.fna
0	10	5	my_61048_TR26939-c0_g1_i1_aln.fna
0.55	36	9	my_35537_TR24915-c0_g1_i1_aln.fna
0	6	4	my_61906_TR695-c0_g1_i1_aln.fna
0	15	6	my_33155_TR939-c0_g1_i1_aln.fna
0	6	4	my_32083_TR24659-c0_g3_i2_aln.fna
0.09	36	9	my_30294_TR31590-c0_g1_i1_aln.fna
0.29	21	7	my_97016_TR16989-c0_g1_i1_aln.fna
0.11	21	7	my_26700_TR29777-c0_g1_i1_aln.fna
0.75	6	4	my_25245_TR359-c0_g1_i1_aln.fna
0.14	10	5	my_140327_TR12575-c0_g1_i1_aln.fna
0.37	6	4	my_91210_TR18516-c0_g3_i1_aln.fna
0	120	16	my_22005_TR14409-c0_g1_i1_aln.fna
0	10	5	my_139749_TR20703-c0_g1_i1_aln.fna
0	6	4	my_138046_TR10259-c1_g1_i1_aln.fna
0.18	21	7	my_26944_TR1330-c0_g1_i1_aln.fna
0.6	78	13	my_8037_TR10006-c0_g1_i1_aln.fna
0	28	8	my_18841_TR17120-c0_g1_i1_aln.fna
0.02	28	8	my_132170_TR5618-c0_g1_i1_aln.fna
0	28	8	my_65899_TR2219-c0_g1_i1_aln.fna
0	15	6	my_30980_TR6971-c0_g1_i1_aln.fna
0	6	4	my_63718_TR18914-c0_g1_i1_aln.fna
0.54	21	7	my_32385_TR20543-c0_g1_i1_aln.fna
0	10	5	my_218969_TR1496-c0_g1_i1_aln.fna
0	6	4	my_66764_TR997-c0_g1_i1_aln.fna
0.14	6	4	my_62878_TR26742-c0_g1_i1_aln.fna
0.5	15	6	my_95115_TR17921-c0_g1_i1_aln.fna
0.1	120	16	my_6247_TR4755-c0_g1_i1_aln.fna
0.56	6	4	my_175757_TCONS_00022029_aln.fna
0.67	10	5	my_67782_TR5988-c0_g1_i1_aln.fna
0.36	28	8	my_28154_TR18910-c0_g1_i1_aln.fna
0.12	55	11	my_31522_TR30963-c0_g1_i1_aln.fna
0	45	10	my_12854_TR9411-c2_g1_i1_aln.fna
0	6	4	my_34927_TR34257-c0_g1_i1_aln.fna
0	36	9	my_34631_TR20677-c1_g1_i1_aln.fna
0	55	11	my_28052_TR2504-c0_g1_i1_aln.fna
0.01	55	11	my_26079_TR27534-c0_g1_i1_aln.fna
0	10	5	my_209659_TR2438-c0_g2_i1_aln.fna
0	6	4	my_66792_TR4185-c0_g1_i1_aln.fna
0.34	15	6	my_62587_TR13134-c0_g2_i1_aln.fna
0.12	15	6	my_102580_TR32566-c0_g2_i1_aln.fna
0	28	8	my_32890_TR23081-c0_g1_i1_aln.fna
0	10	5	my_133867_TR7040-c0_g1_i1_aln.fna
0.51	6	4	my_93916_TR8618-c0_g1_i1_aln.fna
0	6	4	my_60004_TR33225-c0_g1_i1_aln.fna
0.33	6	4	my_100598_TR9947-c0_g1_i1_aln.fna
0	6	4	my_64690_TR15275-c0_g1_i1_aln.fna
0.62	6	4	my_32027_TR18695-c0_g1_i1_aln.fna
0.41	6	4	my_218668_TR8860-c1_g1_i1_aln.fna
0	28	8	my_70343_TR10648-c0_g1_i1_aln.fna
0.8	15	6	my_31647_TR7954-c0_g1_i1_aln.fna
0	36	9	my_27421_TR7645-c0_g1_i1_aln.fna
1.36	15	6	my_103349_TR12427-c0_g6_i1_aln.fna
0	78	13	my_28732_TR32986-c0_g1_i1_aln.fna
0.62	6	4	my_61961_TR8449-c0_g1_i1_aln.fna
0	6	4	my_31089_TR22022-c0_g1_i1_aln.fna
0	6	4	my_140840_TR1546-c1_g1_i1_aln.fna
0.17	21	7	my_90298_TR3470-c0_g1_i1_aln.fna
0.1	120	16	my_8085_TR18776-c0_g1_i1_aln.fna
0.41	6	4	my_186838_TCONS_00000562_aln.fna
0.23	6	4	my_136148_TR35686-c0_g1_i1_aln.fna
0	21	7	my_17914_TR5355-c0_g1_i1_aln.fna
4.23	10	5	my_215875_TR2273-c2_g14_i1_aln.fna
0	6	4	my_32895_TR23507-c0_g1_i1_aln.fna
0.72	6	4	my_29406_TR27344-c0_g1_i1_aln.fna
0	120	16	my_20252_TR27376-c1_g3_i2_aln.fna
0.94	6	4	my_34702_TR35391-c0_g1_i1_aln.fna
0	6	4	my_60047_TR3788-c0_g1_i1_aln.fna
0	10	5	my_161321_TCONS_00024534_aln.fna
0.32	78	13	my_64598_TR3544-c1_g1_i1_aln.fna
0.59	21	7	my_28406_TR18127-c0_g2_i2_aln.fna
0.49	6	4	my_64114_TR3020-c0_g1_i1_aln.fna
0	45	10	my_33792_TR13304-c2_g2_i4_aln.fna
0	10	5	my_97486_TR27373-c0_g1_i1_aln.fna
0	6	4	my_133406_TR5609-c0_g1_i1_aln.fna
0	10	5	my_66589_TR17415-c0_g1_i1_aln.fna
0.4	21	7	my_65756_TR19787-c0_g1_i1_aln.fna
0.06	120	16	my_6148_TR7801-c0_g1_i1_aln.fna
0.4	6	4	my_67156_TR6364-c2_g1_i1_aln.fna
0.13	45	10	my_20323_TR14785-c1_g1_i1_aln.fna
0	6	4	my_70005_TR20936-c0_g1_i1_aln.fna
0.63	10	5	my_101214_TR17658-c0_g1_i1_aln.fna
0	15	6	my_27831_TR7083-c0_g1_i1_aln.fna
0.12	78	13	my_26995_TR9297-c0_g1_i1_aln.fna
0	6	4	my_297402_TR2362-c0_g2_i2_aln.fna
0	6	4	my_61256_TR32539-c0_g1_i1_aln.fna
0.33	55	11	my_22884_TR7776-c0_g1_i1_aln.fna
0.07	21	7	my_25922_TR33403-c0_g2_i2_aln.fna
0	6	4	my_61315_TR8626-c0_g1_i1_aln.fna
0	6	4	my_33970_TR9541-c0_g1_i1_aln.fna
0	6	4	my_139497_TR14051-c0_g1_i1_aln.fna
0	10	5	my_65318_TR251-c0_g1_i1_aln.fna
0	15	6	my_67989_TR28601-c0_g1_i1_aln.fna
0	28	8	my_61709_TR5130-c0_g1_i1_aln.fna
0	6	4	my_96579_TR4491-c0_g1_i1_aln.fna
0.82	10	5	my_33779_TR11466-c0_g1_i1_aln.fna
0.44	15	6	my_54429_TR36013-c0_g1_i1_aln.fna
0.96	6	4	my_70229_TR25686-c0_g1_i1_aln.fna
0.19	10	5	my_50975_TR16821-c0_g1_i1_aln.fna
0	6	4	my_100762_TR29429-c1_g1_i1_aln.fna
0	6	4	my_68263_TR33003-c0_g1_i1_aln.fna
0.27	6	4	my_22511_TR2174-c0_g1_i1_aln.fna
0.94	21	7	my_23387_TR24599-c0_g1_i1_aln.fna
0	10	5	my_63329_TR30211-c0_g1_i1_aln.fna
0.31	6	4	my_57341_TR30040-c0_g1_i1_aln.fna
0.02	6	4	my_267549_TR31718-c0_g1_i1_aln.fna
0.35	105	15	my_11902_TR19945-c0_g1_i1_aln.fna
0.18	78	13	my_20519_TR18760-c0_g1_i1_aln.fna
0	15	6	my_23478_TR10150-c0_g1_i1_aln.fna
0.17	36	9	my_29699_TR35388-c0_g2_i1_aln.fna
0	6	4	my_67691_TR32728-c0_g1_i1_aln.fna
0	6	4	my_30463_TR14529-c1_g1_i1_aln.fna
0	91	14	my_32472_TR27832-c1_g10_i1_aln.fna
0.58	6	4	my_22243_TR22490-c0_g1_i8_aln.fna
0	15	6	my_52152_TR35672-c0_g2_i1_aln.fna
0	6	4	my_68822_TR1228-c0_g1_i1_aln.fna
0.07	6	4	my_24082_TR23915-c7_g4_i4_aln.fna
0.28	45	10	my_69975_TR14221-c0_g1_i1_aln.fna
0	15	6	my_64320_TR36034-c0_g1_i1_aln.fna
0.04	6	4	my_215316_TR4759-c0_g1_i1_aln.fna
0	21	7	my_31998_TR15695-c0_g1_i1_aln.fna
0.16	21	7	my_97513_TR30162-c0_g1_i7_aln.fna
0	21	7	my_95573_TR12339-c0_g1_i1_aln.fna
0	21	7	my_61455_TR34399-c0_g1_i1_aln.fna
0	36	9	my_35830_TR34563-c0_g2_i1_aln.fna
0	6	4	my_33972_TR9853-c0_g1_i1_aln.fna
0	6	4	my_137549_TR24113-c0_g1_i1_aln.fna
0	10	5	my_101346_TR34518-c0_g1_i1_aln.fna
0.01	36	9	my_17801_TR21450-c0_g2_i1_aln.fna
0	6	4	my_138891_TR5899-c0_g1_i1_aln.fna
0	120	16	my_17944_TR16438-c0_g1_i1_aln.fna
0	10	5	my_67480_TR10831-c0_g1_i1_aln.fna
0.12	66	12	my_33591_TR13982-c0_g1_i1_aln.fna
0	6	4	my_33366_TR2067-c0_g1_i1_aln.fna
0	120	16	my_22729_TR34733-c0_g1_i1_aln.fna
0.01	120	16	my_20370_TR34268-c0_g1_i1_aln.fna
0.12	78	13	my_33704_TR36362-c0_g3_i1_aln.fna
0.54	10	5	my_26109_TR31610-c0_g1_i1_aln.fna
0	15	6	my_104640_TR9857-c0_g1_i1_aln.fna
0	10	5	my_66528_TR9523-c0_g1_i1_aln.fna
0.51	10	5	my_56576_TR17253-c0_g1_i1_aln.fna
0.11	15	6	my_20677_TR17851-c0_g1_i1_aln.fna
1.08	6	4	my_332635_TR28541-c0_g1_i1_aln.fna
0.28	6	4	my_135240_TR22493-c0_g1_i1_aln.fna
0.37	6	4	my_21072_TR25742-c0_g1_i1_aln.fna
0	6	4	my_106419_TR7039-c0_g1_i1_aln.fna
0	15	6	my_59671_TR28325-c0_g1_i1_aln.fna
0	120	16	my_19875_TR15806-c0_g1_i1_aln.fna
0.48	6	4	my_178846_TCONS_00010607_aln.fna
1.43	10	5	my_93537_TR15555-c0_g1_i1_aln.fna
0	78	13	my_23343_TR12980-c1_g1_i1_aln.fna
0.02	36	9	my_33820_TR18515-c0_g1_i1_aln.fna
0.15	36	9	my_19007_TR30243-c0_g1_i1_aln.fna
0	6	4	my_57358_TR1338-c0_g1_i1_aln.fna
0	6	4	my_25746_TR35839-c0_g1_i1_aln.fna
0	28	8	my_60345_TR31721-c0_g1_i1_aln.fna
2.18	6	4	my_26126_TR35872-c0_g1_i1_aln.fna
0	6	4	my_22707_TR26508-c0_g1_i1_aln.fna
0.5	6	4	my_26328_TR1067-c0_g1_i1_aln.fna
0.4	66	12	my_31120_TR24991-c0_g2_i1_aln.fna
0	36	9	my_65103_TR9995-c0_g1_i1_aln.fna
0	6	4	my_104580_TR33435-c0_g1_i1_aln.fna
0	36	9	my_55556_TR2425-c1_g1_i1_aln.fna
0	10	5	my_22462_TR26178-c0_g1_i1_aln.fna
0	6	4	my_100421_TR21017-c0_g1_i1_aln.fna
0.35	15	6	my_24475_TR3924-c0_g1_i1_aln.fna
0.13	15	6	my_22096_TR15363-c0_g1_i1_aln.fna
0.87	28	8	my_68143_TR11997-c0_g1_i1_aln.fna
0	66	12	my_24331_TR8243-c1_g1_i1_aln.fna
0.43	6	4	my_127623_TR5178-c0_g1_i1_aln.fna
0.11	120	16	my_18605_TR19563-c0_g1_i1_aln.fna
0	6	4	my_62418_TR18047-c0_g1_i1_aln.fna
0	6	4	my_34148_TR7108-c0_g1_i1_aln.fna
0.34	10	5	my_60525_TR26870-c0_g1_i1_aln.fna
0.25	10	5	my_60055_TR5057-c0_g1_i1_aln.fna
0	6	4	my_60175_TR34802-c2_g1_i1_aln.fna
0.17	120	16	my_12939_TR26032-c0_g1_i1_aln.fna
0	10	5	my_130841_TR28781-c0_g3_i2_aln.fna
0	15	6	my_23841_TR2883-c1_g1_i1_aln.fna
0	6	4	my_138446_TR27316-c0_g1_i1_aln.fna
0.05	6	4	my_209252_TR5714-c0_g1_i1_aln.fna
0	6	4	my_211235_TR5207-c0_g1_i1_aln.fna
0	6	4	my_63947_TR18540-c0_g1_i1_aln.fna
0.06	21	7	my_32630_TR13428-c0_g1_i1_aln.fna
0	6	4	my_258669_TR17732-c0_g1_i1_aln.fna
0.03	45	10	my_60498_TR23134-c0_g1_i1_aln.fna
0	15	6	my_24412_TR24395-c0_g1_i1_aln.fna
0.32	28	8	my_53243_TR4599-c0_g1_i1_aln.fna
0.99	15	6	my_67137_TR5007-c0_g1_i1_aln.fna
0	21	7	my_24273_TR30856-c1_g1_i1_aln.fna
0	28	8	my_96609_TR10048-c0_g1_i1_aln.fna
1.93	10	5	my_140428_TR30799-c0_g1_i1_aln.fna
0	6	4	my_28760_TR1484-c0_g1_i1_aln.fna
0.35	6	4	my_66484_TR4435-c0_g1_i1_aln.fna
0	10	5	my_68412_TR28888-c0_g1_i1_aln.fna
0.6	6	4	my_25954_TR3738-c0_g1_i1_aln.fna
0	10	5	my_101054_TR34666-c0_g1_i1_aln.fna
0.5	15	6	my_104691_TR19466-c1_g1_i2_aln.fna
0.26	10	5	my_278710_TR1126-c0_g2_i2_aln.fna
0.52	45	10	my_57251_TR764-c0_g1_i1_aln.fna
0	6	4	my_30218_TR24420-c0_g1_i1_aln.fna
0.51	10	5	my_104851_TR13900-c0_g1_i1_aln.fna
0.17	15	6	my_120204_TR4759-c0_g1_i1_aln.fna
0.03	21	7	my_25052_TR34539-c0_g1_i1_aln.fna
0.4	6	4	my_182748_TCONS_00026230_aln.fna
0	28	8	my_64934_TR20442-c0_g1_i1_aln.fna
0	10	5	my_253079_TR15749-c1_g1_i1_aln.fna
0.21	6	4	my_158941_TCONS_00015076_aln.fna
0.17	10	5	my_17045_TR30375-c1_g1_i1_aln.fna
0.33	10	5	my_104261_TR2908-c0_g1_i1_aln.fna
0.03	6	4	my_22856_TR516-c0_g1_i1_aln.fna
0.63	10	5	my_24583_TR35800-c0_g1_i1_aln.fna
0	15	6	my_27383_TR66-c0_g1_i1_aln.fna
0	36	9	my_89467_TR3831-c0_g1_i1_aln.fna
0	10	5	my_57169_TR12133-c0_g1_i1_aln.fna
2.07	6	4	my_34543_TR5217-c0_g1_i1_aln.fna
0.67	10	5	my_133948_TR22593-c0_g1_i1_aln.fna
0.59	6	4	my_458151_TR8302-c0_g1_i1_aln.fna
0	10	5	my_33588_TR12473-c0_g1_i1_aln.fna
0.05	45	10	my_60025_TR1036-c0_g1_i1_aln.fna
0	10	5	my_23730_TR10175-c0_g1_i1_aln.fna
0	28	8	my_137730_TR9420-c1_g1_i1_aln.fna
0.66	91	14	my_24853_TR22479-c1_g1_i1_aln.fna
0	120	16	my_15620_TR35411-c0_g1_i1_aln.fna
0.78	6	4	my_172582_TCONS_00001135_aln.fna
0	45	10	my_23871_TR9221-c0_g1_i2_aln.fna
0	10	5	my_33803_TR14713-c0_g3_i1_aln.fna
0.63	10	5	my_35410_TR3045-c0_g1_i1_aln.fna
0	45	10	my_84817_TR8486-c0_g1_i1_aln.fna
1	21	7	my_30483_TR17083-c0_g1_i1_aln.fna
0	28	8	my_63911_TR12721-c0_g1_i1_aln.fna
0	6	4	my_103776_TR17953-c1_g2_i1_aln.fna
0.18	66	12	my_22645_TR8427-c0_g1_i1_aln.fna
0	6	4	my_31447_TR23387-c0_g1_i1_aln.fna
0.16	21	7	my_33220_TR13392-c0_g1_i1_aln.fna
0	6	4	my_148816_TCONS_00050361_aln.fna
0	6	4	my_186133_TCONS_00027801_aln.fna
0	15	6	my_21458_TR13810-c0_g1_i1_aln.fna
0	10	5	my_34792_TR11566-c2_g1_i1_aln.fna
0	105	15	my_20916_TR1046-c0_g1_i1_aln.fna
0	15	6	my_187487_TCONS_00004200_aln.fna
0	21	7	my_70595_TR19831-c0_g1_i1_aln.fna
0.48	10	5	my_35746_TR21631-c0_g2_i1_aln.fna
0.01	6	4	my_171127_TCONS_00033349_aln.fna
0.84	78	13	my_19206_TR4756-c0_g1_i1_aln.fna
0	10	5	my_56700_TR17018-c0_g1_i1_aln.fna
0	6	4	my_59545_TR3391-c0_g2_i1_aln.fna
0.02	120	16	my_20427_TR21890-c0_g1_i1_aln.fna
0	6	4	my_186516_TCONS_00040474_aln.fna
0.37	6	4	my_90014_TR28424-c0_g1_i1_aln.fna
0	120	16	my_15404_TR2680-c0_g1_i1_aln.fna
0	6	4	my_35645_TR7226-c0_g1_i1_aln.fna
0.12	6	4	my_130654_TR23585-c0_g1_i1_aln.fna
0.44	21	7	my_89362_TR23729-c0_g1_i1_aln.fna
0.34	78	13	my_25105_TR10617-c0_g1_i1_aln.fna
0	6	4	my_208454_TR23149-c0_g2_i1_aln.fna
0.46	6	4	my_96202_TR3532-c0_g1_i1_aln.fna
0	55	11	my_25639_TR15630-c0_g1_i1_aln.fna
0	6	4	my_35282_TR17396-c0_g2_i1_aln.fna
0	120	16	my_25633_TR14698-c0_g1_i1_aln.fna
0	10	5	my_68910_TR21939-c0_g1_i1_aln.fna
0	21	7	my_61989_TR15344-c0_g1_i1_aln.fna
0.91	36	9	my_66177_TR3667-c0_g1_i4_aln.fna
0.48	10	5	my_29502_TR5958-c0_g2_i1_aln.fna
0	28	8	my_32690_TR24376-c0_g1_i1_aln.fna
0.12	6	4	my_30954_TR3809-c0_g1_i1_aln.fna
0	6	4	my_28447_TR25211-c1_g1_i7_aln.fna
0	15	6	my_63151_TR33742-c0_g1_i1_aln.fna
0	15	6	my_26636_TR18645-c0_g1_i1_aln.fna
0	6	4	my_105720_TR30192-c0_g1_i1_aln.fna
0.13	105	15	my_15721_TR28673-c0_g1_i1_aln.fna
1.39	6	4	my_26448_TR22508-c1_g1_i2_aln.fna
0	21	7	my_31862_TR34058-c0_g1_i1_aln.fna
0	6	4	my_187649_TCONS_00030297_aln.fna
0	10	5	my_27047_TR15578-c2_g1_i1_aln.fna
0	6	4	my_25122_TR13126-c0_g1_i1_aln.fna
0.61	6	4	my_101075_TR648-c0_g1_i1_aln.fna
0	15	6	my_21244_TR7043-c1_g1_i1_aln.fna
0	21	7	my_59600_TR13288-c0_g1_i1_aln.fna
0.21	45	10	my_21576_TR18680-c0_g1_i1_aln.fna
0	6	4	my_296263_TR17420-c0_g1_i1_aln.fna
0.29	15	6	my_105680_TR23289-c0_g1_i1_aln.fna
0	10	5	my_64190_TR16993-c0_g1_i1_aln.fna
0.11	6	4	my_26429_TR18374-c0_g1_i1_aln.fna
0.24	28	8	my_95920_TR17684-c0_g1_i1_aln.fna
0	28	8	my_27447_TR13584-c0_g1_i1_aln.fna
0.5	45	10	my_29883_TR20851-c0_g1_i1_aln.fna
0.62	21	7	my_70324_TR6945-c0_g1_i1_aln.fna
0	6	4	my_136440_TR36457-c0_g1_i1_aln.fna
0	15	6	my_53950_TR2208-c0_g1_i1_aln.fna
0.22	6	4	my_30727_TR11656-c0_g1_i1_aln.fna
0.5	6	4	my_62455_TR27481-c1_g1_i1_aln.fna
0	10	5	my_99430_TR29317-c0_g1_i1_aln.fna
0	66	12	my_24383_TR16070-c0_g1_i1_aln.fna
0	6	4	my_92786_TR5335-c0_g3_i1_aln.fna
0.57	28	8	my_21585_TR21308-c0_g1_i1_aln.fna
0	10	5	my_64892_TR12181-c0_g1_i1_aln.fna
0	15	6	my_71210_TR24905-c0_g1_i1_aln.fna
0.1	28	8	my_87367_TR17863-c0_g1_i1_aln.fna
0	6	4	my_62617_TR19936-c0_g1_i1_aln.fna
0.04	120	16	my_17140_TR16540-c0_g1_i1_aln.fna
0.73	10	5	my_99855_TR12332-c0_g2_i1_aln.fna
0.34	6	4	my_134896_TR12464-c0_g1_i1_aln.fna
0	120	16	my_21952_TR30868-c0_g1_i1_aln.fna
0	66	12	my_17034_TR25512-c1_g1_i1_aln.fna
0	45	10	my_57614_TR7710-c0_g1_i1_aln.fna
0	28	8	my_12615_TR12660-c0_g1_i1_aln.fna
0	6	4	my_59182_TR29357-c0_g1_i1_aln.fna
0.07	6	4	my_93605_TR519-c0_g1_i1_aln.fna
0	91	14	my_24215_TR17439-c0_g2_i1_aln.fna
0	21	7	my_34246_TR20116-c0_g1_i1_aln.fna
0.16	10	5	my_24355_TR10923-c0_g1_i1_aln.fna
0.06	21	7	my_34127_TR3085-c0_g1_i1_aln.fna
0.27	21	7	my_31386_TR17475-c0_g1_i1_aln.fna
0	6	4	my_95094_TR13791-c0_g1_i1_aln.fna
0	10	5	my_133092_TR25080-c0_g1_i2_aln.fna
0.49	10	5	my_214367_TR27557-c0_g1_i1_aln.fna
0.05	45	10	my_22257_TR28789-c0_g2_i1_aln.fna
0	6	4	my_63756_TR23952-c0_g1_i1_aln.fna
0	10	5	my_210284_TR71-c0_g1_i1_aln.fna
0.11	15	6	my_33086_TR25051-c0_g2_i14_aln.fna
0.24	6	4	my_105593_TR7993-c0_g1_i1_aln.fna
0	120	16	my_24614_TR7591-c0_g1_i1_aln.fna
0	6	4	my_65765_TR20621-c0_g1_i1_aln.fna
1.26	10	5	my_132508_TR31028-c0_g1_i1_aln.fna
0	21	7	my_25994_TR11906-c0_g1_i1_aln.fna
0.64	6	4	my_334002_TR382-c0_g1_i1_aln.fna
0.96	28	8	my_70506_TR2240-c0_g1_i1_aln.fna
0.21	6	4	my_69214_TR11901-c0_g1_i1_aln.fna
0	28	8	my_15382_TR27173-c0_g1_i1_aln.fna
0.69	21	7	my_60353_TR32856-c0_g1_i1_aln.fna
0.87	6	4	my_98600_TR6003-c0_g1_i1_aln.fna
0.11	55	11	my_26696_TR29654-c0_g1_i1_aln.fna
0	10	5	my_61969_TR10534-c0_g1_i1_aln.fna
0.27	6	4	my_218394_TR14593-c0_g1_i1_aln.fna
0	6	4	my_248390_TR26616-c0_g1_i1_aln.fna
